M_init age core_mass st
13.46 1.755131997790e+01 4.0777 5
13.1621 1.816415265610e+01 3.96428 5
13.5593 1.735377901070e+01 4.11567 5
13.8572 1.679727603730e+01 4.22938 5
13.7579 1.697800822741e+01 4.19153 5
13.6586 1.716379719383e+01 4.15364 5
13.9566 1.662026699275e+01 4.26735 5
14.0558 1.644867668776e+01 4.30493 5
14.1551 1.627916062190e+01 4.34307 5
14.2544 1.611548267563e+01 4.38062 5
14.3537 1.595567446245e+01 4.41831 5
14.453 1.579751966676e+01 4.45624 5
14.5523 1.564466333474e+01 4.49382 5
14.6517 1.549483290027e+01 4.53161 5
14.9495 1.506187779249e+01 4.64527 5
14.8502 1.520626928528e+01 4.60652 5
15.1481 1.479076784789e+01 4.72035 5
15.2474 1.465884116797e+01 4.75806 5
15.3468 1.453179141177e+01 4.79511 5
15.0488 1.492714912852e+01 4.68219 5
15.446 1.440252004169e+01 4.8336 5
15.7439 1.404043849013e+01 4.94581 5
14.7509 1.534681492587e+01 4.5695 5
15.6446 1.415941150053e+01 4.9082 5
15.5453 1.427963888209e+01 4.87094 5
15.8432 1.392290471239e+01 4.98373 5
15.9425 1.380916472432e+01 5.02113 5
16.1411 1.358777973674e+01 5.09605 5
16.0419 1.369746896706e+01 5.05857 5
16.2404 1.347941672481e+01 5.13379 5
16.3397 1.337293150704e+01 5.1716 5
16.4391 1.326837243027e+01 5.20942 5
17.1341 1.259461464809e+01 5.47132 5
16.737 1.296836867675e+01 5.32198 5
16.6377 1.306777965512e+01 5.284 5
16.8362 1.287068751031e+01 5.36001 5
17.0348 1.268762536893e+01 5.43316 5
16.5384 1.316891802074e+01 5.24605 5
17.4321 1.232530524896e+01 5.58578 5
17.2334 1.250305331513e+01 5.50957 5
17.3327 1.241289883491e+01 5.54789 5
16.9355 1.277580593045e+01 5.39762 5
17.5313 1.224940779674e+01 5.61914 5
17.6306 1.216319216148e+01 5.65768 5
17.8292 1.199478074201e+01 5.73488 5
17.9285 1.191269359021e+01 5.7735 5
18.0279 1.183530161898e+01 5.81051 5
18.3257 1.161504926955e+01 5.91919 5
17.7299 1.207840576301e+01 5.69622 5
18.5243 1.146372903967e+01 5.99688 5
18.1272 1.176687669198e+01 5.84374 5
18.2264 1.169242340045e+01 5.88043 5
18.6236 1.138974349325e+01 6.03581 5
18.425 1.153900055640e+01 5.95792 5
19.0208 1.114097959442e+01 6.17146 5
18.8223 1.126218122785e+01 6.10443 5
18.9215 1.120227759838e+01 6.13733 5
19.2194 1.099471003738e+01 6.25483 5
19.1201 1.106287327758e+01 6.21562 5
18.7229 1.132256773579e+01 6.07171 5
19.3187 1.092790432798e+01 6.29384 5
19.4181 1.086182663018e+01 6.33303 5
19.6166 1.074398464047e+01 6.40444 5
19.5174 1.079900281759e+01 6.37085 5
19.8152 1.062810087591e+01 6.47663 5
19.9145 1.056492071062e+01 6.51685 5
20.0138 1.049673259227e+01 6.56099 5
20.2125 1.037116116366e+01 6.64553 5
20.1131 1.043452693637e+01 6.60253 5
19.7159 1.068778860622e+01 6.43921 5
20.3117 1.029748254113e+01 6.69647 5
20.411 1.021259051909e+01 6.75632 5
20.5103 1.014949026370e+01 6.80193 5
20.9076 9.877133688444e+00 7.02166 5
20.6096 1.008606484846e+01 6.84904 5
21.1061 9.824928362669e+00 7.08149 5
20.7089 9.985140403371e+00 6.92716 5
20.8083 9.915782377577e+00 6.98559 5
21.0069 9.846629693187e+00 7.05413 5
21.3047 9.794612850419e+00 7.1352 5
21.404 9.782566609809e+00 7.17105 5
21.5033 9.776038205868e+00 7.19588 5
21.6027 9.768850838788e+00 7.22283 5
21.702 9.760754377092e+00 7.24554 5
21.2054 9.807034264147e+00 7.10955 5
21.9005 9.738632060517e+00 7.29128 5
21.8012 9.749551817318e+00 7.27129 5
21.9998 9.724083769485e+00 7.31336 5
